,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
990,SFO Technologies,3.6,(434 Reviews),Private,"Kochi/Cochin,Kerala + 13 more",32 years old,1k-5k Employees (India)
991,Vivanta by Taj,4.3,(432 Reviews),Private,"Gurgaon/Gurugram,Haryana + 36 more",12 years old,1k-5k Employees (India)
992,OLX,4.1,(432 Reviews),Private,"Gurgaon,Haryana + 41 more",16 years old,1k-5k Employees (India)
993,TVS Supply Chain...,4.1,(1.4k Reviews),"Chennai,Tamil Nadu + 70 more",126 years old,1k-5k Employees (India),
994,Medusind Solutio...,4.1,(431 Reviews),Private,"Mumbai,Maharashtra + 5 more",20 years old,1k-5k Employees (India)
995,CALIBEHR,3.8,(431 Reviews),Private,"Mumbai,Maharashtra + 70 more",43 years old,1k-5k Employees (India)
996,General Motors,4.4,(632 Reviews),Private,"Detroit,Michigan + 26 more",26 years old,1k-5k Employees (India)
997,Amtek Auto,3.9,(430 Reviews),Public,"Delhi/NCR,New Delhi + 33 more",37 years old,1k-5k Employees (India)
998,Lumen Technologi...,3.8,(430 Reviews),"Monroe,Louisiana + 10 more",92 years old,1k-5k Employees (India),
999,JTEKT,4.1,(580 Reviews),Public,Osaka + 16 more,16 years old,1k-5k Employees (India)
1000,Genpact Headstro...,3.9,(548 Reviews),Private,"New Delhi,New Delhi + 12 more",24 years old,1k-5k Employees (India)
1001,WorleyParsons,3.9,(429 Reviews),Private,"North Sydney,North Sydney + 28 more",51 years old,1k-5k Employees (India)
1002,Tata Cummins,4.4,(428 Reviews),Private,"Pune,Maharashtra + 18 more",29 years old,5k-10k Employees (India)
1003,Wheels,4.2,(428 Reviews),Public,"Chennai,Tamil Nadu + 21 more",60 years old,1k-5k Employees (India)
1004,Napino Auto & El...,4.1,(428 Reviews),Public,"Gurgaon/Gurugram,Haryana + 5 more",25 years old,1k-5k Employees (India)
1005,Velocis Systems,4.1,(427 Reviews),Private,"Noida,Uttar Pradesh + 37 more",27 years old,1k-5k Employees (India)
1006,Rodic Consultant...,4.3,(427 Reviews),Private,"Delhi/NCR,Delhi + 73 more",22 years old,1k-5k Employees (India)
1007,DLF,4.1,(427 Reviews),Public,"Gurgaon/Gurugram,Haryana + 23 more",76 years old,1k-5k Employees (India)
1008,Diageo,4.2,(897 Reviews),Public,London + 56 more,25 years old,1k-5k Employees (India)
1009,Chetu,3.6,(426 Reviews),Private,"Plantation,Florida + 3 more",22 years old,1k-5k Employees (India)
1010,Sundaram Clayto...,4.1,(426 Reviews),Public,"Chennai,Tamil Nadu + 15 more",60 years old,1k-5k Employees (India)
1011,Star Cement,3.9,(426 Reviews),Public,"Kolkata,West Bengal + 36 more",21 years old,501-1k Employees (India)
1012,Royal Sundaram G...,4.0,(426 Reviews),JV,"Chennai,Tamil Nadu + 76 more",21 years old,1k-5k Employees (India)
1013,IFFCO,4.0,(1.4k Reviews),Private,"Delhi/NCR,Delhi + 56 more",55 years old,10k-50k Employees (Global)
1014,Dimension Data,3.9,(425 Reviews),Private,"Bryanston,Johannesburg + 47 more",39 years old,1k-5k Employees (India)
1015,Power Grid Corpo...,4.6,(425 Reviews),Private,"Gurgaon/Gurugram,Haryana + 121 more",33 years old,5k-10k Employees (India)
1016,Vakrangee,3.5,(425 Reviews),Public,"Mumbai,Maharashtra + 73 more",32 years old,1k-5k Employees (India)
1017,Visionary RCM In...,3.5,(425 Reviews),Private,"Chennai,Tamil Nadu + 7 more",16 years old,1k-5k Employees (India)
1018,Hikal,4.1,(424 Reviews),Private,"Mumbai,Maharashtra + 13 more",34 years old,1k-5k Employees (India)
1019,Denave,4.0,(424 Reviews),Private,"Noida,Uttar Pradesh + 50 more",23 years old,501-1k Employees (India)
1020,Eli Research,3.2,(424 Reviews),Private,Faridabad + 8 more,31 years old,501-1k Employees (India)
1021,Air India,3.9,(517 Reviews),Private,"Delhi/NCR,New Delhi + 37 more",92 years old,5k-10k Employees (Global)
1022,Defence Research...,4.4,(482 Reviews),Private,"Delhi/NCR,New Delhi + 32 more",64 years old,10k-50k Employees (India)
1023,ICA Edu Skills,3.8,(423 Reviews),Private,"Kolkata,West Bengal + 88 more",23 years old,1k-5k Employees (India)
1024,TEKsystems,3.7,(422 Reviews),Private,"Hanover,Maryland + 8 more",39 years old,1k-5k Employees (India)
1025,Omaxe,4.1,(421 Reviews),Public,"Delhi/NCR,New Delhi + 18 more",33 years old,1k-5k Employees (India)
1026,FirstCry,3.9,(421 Reviews),Private,"Pune,Maharashtra + 50 more",12 years old,1k-5k Employees (India)
1027,Ihg Group,4.2,(856 Reviews),Private,"Gurgaon/Gurugram,Haryana + 32 more",19 years old,501-1k Employees (India)
1028,Gharda Chemicals,4.3,(420 Reviews),Private,"Mumbai,Maharashtra + 34 more",55 years old,1k-5k Employees (India)
1029,Matrimony.com,3.7,(419 Reviews),Public,"Chennai,Tamil Nadu + 31 more",25 years old,1k-5k Employees (India)
1030,Sl Lumax,3.4,(419 Reviews),Public,"Sriperumbudur,Tamil Nadu + 11 more",25 years old,1k-5k Employees (India)
1031,Asirvad Microfin...,4.0,(418 Reviews),Private,"Chennai,Tamil Nadu + 123 more",15 years old,5k-10k Employees (India)
1032,Wheelseye Techno...,4.0,(418 Reviews),Private,"Gurgaon,Haryana + 98 more",5 years old,11-50 Employees (India)
1033,McNally Bharat E...,4.1,(470 Reviews),Public,"Kolkata,West Bengal + 41 more",61 years old,1k-5k Employees (India)
1034,Godrej Propertie...,3.8,(416 Reviews),Public,"Mumbai,Maharashtra + 21 more",32 years old,1k-5k Employees (India)
1035,Allianz Technolo...,4.4,(856 Reviews),Munich + 3 more,132 years old,1k-5k Employees (India),
1036,Caparo Engineeri...,3.9,(415 Reviews),"Gurgaon/Gurugram,Haryana + 32 more",54 years old,51-200 Employees (India),
1037,VeeTechnologies,3.7,(415 Reviews),Private,New York + 13 more,22 years old,1k-5k Employees (India)
1038,Holiday Inn,4.2,(414 Reviews),Private,"Memphis,Buckinghamshire + 42 more",70 years old,1k-5k Employees (India)
1039,Athena BPO,3.3,(413 Reviews),Private,"Mumbai,Maharashtra + 19 more",3 years old,201-500 Employees (India)
1040,ZTE Corporation,4.1,(413 Reviews),Private,"Shenzhen,Guangdong + 45 more",19 years old,1k-5k Employees (India)
1041,National Health ...,3.9,(413 Reviews),Private,"Guwahati,Assam + 137 more",17 years old,1 Lakh+ Employees (Global)
1042,Glorious Insight,5.0,(413 Reviews),Noida,11-50 Employees (India),,
1043,Scope Internatio...,3.9,(412 Reviews),Private,Mannheim + 4 more,21 years old,201-500 Employees (Global)
1044,GKN,4.0,(412 Reviews),Private,"Redditch,Worcestershire + 20 more",37 years old,501-1k Employees (India)
1045,Future Lifestyle...,4.1,(412 Reviews),Public,"Mumbai,Maharashtra + 52 more",10 years old,1k-5k Employees (India)
1046,Jaya Hind Indust...,3.7,(411 Reviews),Public,"Pune,Maharashtra + 12 more",75 years old,501-1k Employees (India)
1047,L&T Power,4.0,(411 Reviews),"Mumbai,Maharashtra + 70 more",16 years old,1k-5k Employees (India),
1048,Samasta Microfin...,4.2,(411 Reviews),Public,"Bangalore,Karnataka + 130 more",14 years old,1k-5k Employees (India)
1049,Adarsh Credit Co...,4.2,(410 Reviews),"Ahmedabad,Gujrat + 133 more",23 years old,1k-5k Employees (India),
1050,nThrive Global S...,3.9,(410 Reviews),Private,Alpharetta + 7 more,19 years old,501-1k Employees (India)
1051,Magus Customer D...,3.7,(410 Reviews),Private,"Pune,Maharashtra + 15 more",33 years old,1k-5k Employees (Global)
1052,Aparna Construct...,4.2,(409 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 21 more",26 years old,1k-5k Employees (India)
1053,Tanishq,4.3,(409 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 107 more",28 years old,5k-10k Employees (Global)
1054,AIIMS,4.2,(409 Reviews),"Delhi/NCR,New Delhi + 30 more",66 years old,5k-10k Employees (India),
1055,Engineers India,4.4,(409 Reviews),Public,"Delhi/NCR,New Delhi + 46 more",57 years old,1k-5k Employees (India)
1056,Photon Interacti...,4.1,(409 Reviews),Private,London + 5 more,23 years old,1k-5k Employees (India)
1057,Willis Towers Wa...,3.9,(483 Reviews),Private,London + 14 more,6 years old,1k-5k Employees (India)
1058,Saud Bahwan Grou...,3.6,(407 Reviews),Private,Muscat + 15 more,47 years old,201-500 Employees (India)
1059,Knorr-Bremse,4.2,(407 Reviews),Private,Munich + 16 more,9 years old,501-1k Employees (India)
1060,Biba Apparels,4.0,(407 Reviews),Private,Gurgaon + 67 more,36 years old,501-1k Employees (India)
1061,BASF,4.5,(505 Reviews),Private,Ludwigshafen + 53 more,79 years old,10k-50k Employees (India)
1062,Rallis India,4.3,(406 Reviews),Public,"Mumbai,Maharashtra + 61 more",74 years old,1k-5k Employees (India)
1063,Gayatri Projects,3.9,(406 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 62 more",59 years old,1k-5k Employees (India)
1064,Advik Hi Tech,3.5,(406 Reviews),"Pune,Maharashtra + 15 more",22 years old,501-1k Employees (India),
1065,Planet Spark,3.6,(406 Reviews),"Gurgaon,Haryana + 22 more",5 years old,51-200 Employees (India),
1066,Michelin,3.9,(405 Reviews),Private,Clermont-Ferrand + 33 more,13 years old,5k-10k Employees (India)
1067,Chennai Radha En...,4.1,(405 Reviews),Private,"Chennai,Tamil Nadu + 32 more",17 years old,5k-10k Employees (India)
1068,Kalpataru Group,3.6,(405 Reviews),Private,"Mumbai,Maharashtra + 39 more",53 years old,1k-5k Employees (India)
1069,Globiva,3.2,(405 Reviews),"Gurgaon/Gurugram,Haryana + 10 more",5 years old,1k-5k Employees (India),
1070,Bses Rajdhani Po...,3.9,(582 Reviews),Private,"Delhi/NCR,New Delhi + 5 more",21 years old,5k-10k Employees (Global)
1071,Allscripts,4.3,(406 Reviews),Private,"Chicago,Illinois + 4 more",36 years old,1k-5k Employees (India)
1072,Shadowfax Techno...,3.7,(487 Reviews),Public,"Bangalore,Karnataka + 74 more",7 years old,1k-5k Employees (India)
1073,Wipro Infrastruc...,3.9,(403 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 25 more",46 years old,1k-5k Employees (India)
1074,General Mills,4.4,(415 Reviews),Private,"Minneapolis,Minnesota + 32 more",26 years old,1k-5k Employees (India)
1075,IL&FS Engineerin...,4.5,(402 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 44 more",34 years old,1k-5k Employees (India)
1076,Central Industri...,4.5,(402 Reviews),Govt Organisation,"Delhi/NCR,New Delhi + 54 more",53 years old,1 Lakh+ Employees (India)
1077,Skipper,3.8,(402 Reviews),Public,"Kolkata,West Bengal + 38 more",41 years old,1k-5k Employees (India)
1078,Karma Ayurveda,4.8,(402 Reviews),,,,
1079,Karma Ayurveda,4.8,(402 Reviews),,,,
1080,Sunknowledge Ser...,4.3,(402 Reviews),Private,"New York,New York + 2 more",16 years old,51-200 Employees (India)
1081,Pernod Ricard,4.1,(408 Reviews),Private,Paris + 71 more,47 years old,501-1k Employees (India)
1082,VA Tech Wabag,3.8,(401 Reviews),Public,"Chennai,Tamil Nadu + 36 more",98 years old,1k-5k Employees (India)
1083,Transsion,4.2,(401 Reviews),Public,Shenzhen + 47 more,16 years old,501-1k Employees (India)
1084,Fusion Microfina...,4.2,(400 Reviews),Private,"Delhi,NCT + 115 more",12 years old,5k-10k Employees (India)
1085,Recpdcl.ltd,4.1,(400 Reviews),Private,"Noida,Uttar Pradesh + 53 more",15 years old,1k-5k Employees (Global)
1086,Edubridge Learni...,4.0,(399 Reviews),Private,"Mumbai,Maharashtra + 57 more",13 years old,501-1k Employees (India)
1087,Timken,4.1,(399 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 27 more",24 years old,501-1k Employees (India)
1088,Sandhar Technolo...,4.0,(399 Reviews),Public,"Gurgaon/Gurugram,Haryana + 23 more",35 years old,5k-10k Employees (India)
1089,Xerox Technology...,3.8,(547 Reviews),Private,"Norwalk,Connecticut + 29 more",6 years old,501-1k Employees (India)
1090,Kutumbh Care,4.1,(398 Reviews),Private,"Noida,Uttar Pradesh + 107 more",15 years old,5k-10k Employees (India)
1091,Amway India Ente...,4.2,(397 Reviews),Private,"Ada Township,Michigan + 70 more",27 years old,501-1k Employees (India)
1092,Kantar,3.7,(890 Reviews),Private,"London,London + 25 more",14 years old,5k-10k Employees (India)
1093,Ebix Software In...,3.3,(396 Reviews),Public,"Atlanta,Georgia + 27 more",46 years old,1k-5k Employees (India)
1094,Barclays Global ...,4.3,(396 Reviews),Private,Pune + 7 more,15 years old,201-500 Employees (India)
1095,Alshaya Group,4.2,(396 Reviews),Private,"Kuwait City,Kuwait + 18 more",132 years old,501-1k Employees (India)
1096,Page Industries,4.4,(395 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 47 more",28 years old,1k-5k Employees (India)
1097,Ugam Solution,3.7,(395 Reviews),Private,"Mumbai,Maharashtra + 9 more",22 years old,1k-5k Employees (India)
1098,Pratap Technocra...,3.9,(395 Reviews),Private,"Jaipur,Rajasthan + 73 more",24 years old,501-1k Employees (India)
1099,Artech Infosyste...,3.7,(395 Reviews),Private,"Morristown,New Jersey + 15 more",30 years old,201-500 Employees (India)
1100,GEP Worldwide,4.0,(394 Reviews),Private,"Clark,New Jersey + 3 more",23 years old,1k-5k Employees (India)
1101,Medplus(optival ...,3.7,(394 Reviews),Private,Hyderabad + 40 more,16 years old,501-1k Employees (India)
1102,Baxter Internati...,4.1,(533 Reviews),Private,"Deerfield,Illinois + 23 more",26 years old,1k-5k Employees (India)
1103,Happiest Minds T...,4.2,(393 Reviews),Public,"Bangalore,Karnataka + 9 more",11 years old,1k-5k Employees (India)
1104,Electrotherm,4.2,(393 Reviews),Public,"Ahmedabad,Gujarat + 20 more",39 years old,1k-5k Employees (India)
1105,India Japan Ligh...,4.1,(392 Reviews),Private,"Chennai,Tamil Nadu + 18 more",26 years old,501-1k Employees (India)
1106,Rao IIT Academy,3.7,(392 Reviews),Private,"Mumbai,Maharashtra + 19 more",8 years old,11-50 Employees (India)
1107,Arohan Financial...,4.0,(392 Reviews),Private,"Kolkata,West Bengal + 92 more",16 years old,1k-5k Employees (India)
1108,J B Chemicals An...,4.1,(392 Reviews),Public,"Mumbai,Maharashtra + 37 more",46 years old,501-1k Employees (India)
1109,Eris Lifescience...,4.0,(391 Reviews),Public,"Ahmedabad,Gujarat + 55 more",15 years old,1k-5k Employees (India)
1110,Sri Chaitanya Sc...,4.0,(391 Reviews),Hyderabad + 55 more,36 years old,11-50 Employees (India),
1111,Leadec,3.8,(391 Reviews),Private,Stuttgart + 31 more,60 years old,501-1k Employees (India)
1112,HBL Power System...,3.8,(391 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 34 more",45 years old,1k-5k Employees (India)
1113,Progressive Info...,3.8,(391 Reviews),Private,"Noida,Uttar Pradesh + 37 more",24 years old,1k-5k Employees (India)
1114,Altimetrik,4.1,(390 Reviews),Private,"Southfield,Michigan + 7 more",10 years old,1k-5k Employees (India)
1115,Volvo,4.1,(3.1k Reviews),Private,"Gothenburg,Gothenburg + 31 more",24 years old,1k-5k Employees (India)
1116,Micro Turners,3.8,(389 Reviews),Private,"Panchkula,Haryana + 33 more",53 years old,51-200 Employees (India)
1117,HBL Global,4.0,(389 Reviews),Private,"Mumbai,Maharashtra + 72 more",22 years old,11-50 Employees (India)
1118,Airtel Payments ...,4.2,(388 Reviews),Public,"Delhi/NCR,New Delhi + 113 more",5 years old,1k-5k Employees (India)
1119,Indira IVF Hospi...,4.1,(388 Reviews),Private,"Udaipur,Rajasthan + 63 more",7 years old,1k-5k Employees (India)
1120,BEML,3.9,(387 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 26 more",58 years old,1k-5k Employees (India)
1121,Signify,4.0,(387 Reviews),Amsterdam + 51 more,92 years old,501-1k Employees (India),
1122,Dhanuka Agritech,3.8,(432 Reviews),Public,"Gurgaon/Gurugram,Haryana + 57 more",40 years old,1k-5k Employees (India)
1123,Border Security ...,4.3,(386 Reviews),Govt Organisation,"Delhi/NCR,New Delhi + 57 more",57 years old,1 Lakh+ Employees (India)
1124,Raychem RPG,4.1,(386 Reviews),Private,"Mumbai,Maharashtra + 20 more",33 years old,501-1k Employees (India)
1125,Saudi Binladin G...,4.2,(386 Reviews),Private,"Jeddah,Riyadh + 25 more",91 years old,201-500 Employees (India)
1126,Hitachi Payment ...,4.1,(386 Reviews),Private,"Mumbai,Maharashtra + 26 more",17 years old,1k-5k Employees (India)
1127,Cox & Kings,3.7,(505 Reviews),Private,"Mumbai,Maharashtra + 49 more",264 years old,1k-5k Employees (India)
1128,Meesho,3.5,(385 Reviews),Private,"Bangalore,Karnataka + 50 more",7 years old,501-1k Employees (India)
1129,Tata Starbucks,4.3,(385 Reviews),JV,Seattle + 23 more,51 years old,1k-5k Employees (India)
1130,RAMTeCH Software...,3.8,(385 Reviews),Private,"Noida,Uttar Pradesh + 25 more",30 years old,1k-5k Employees (India)
1131,ICICI Prudential...,4.1,(384 Reviews),New Delhi + 103 more,29 years old,1k-5k Employees (India),
1132,Bajaj Housing Fi...,4.0,(384 Reviews),Private,"Pune,Maharashtra + 85 more",14 years old,1k-5k Employees (India)
1133,Aditya Birla Hea...,4.0,(384 Reviews),Private,Mumbai + 87 more,7 years old,1k-5k Employees (India)
1134,EMERSON PROCESS ...,4.0,(639 Reviews),Public,"St. Louis,Missouri + 24 more",132 years old,5k-10k Employees (India)
1135,Federal Bank,4.2,(634 Reviews),Public,"Aluva,Kerala + 82 more",91 years old,10k-50k Employees (India)
1136,Adani Solar,4.0,(383 Reviews),Public,Ahmedabad + 25 more,7 years old,1k-5k Employees (India)
1137,Lea Associates S...,4.3,(383 Reviews),Private,"Delhi/NCR,Delhi + 76 more",29 years old,201-500 Employees (India)
1138,Turbo Energy,4.3,(383 Reviews),Private,"Chennai,Tamil Nadu + 17 more",39 years old,501-1k Employees (India)
1139,uFaber,3.9,(383 Reviews),Private,"Mumbai,Maharashtra + 14 more",9 years old,501-1k Employees (India)
1140,Rashmi Metaliks,3.7,(383 Reviews),Private,"Kolkata,West Bengal + 16 more",18 years old,10k-50k Employees (India)
1141,Grant Thornton,3.9,(382 Reviews),Private,"Chicago,Illinois + 28 more",98 years old,1k-5k Employees (India)
1142,FIITJEE,3.6,(382 Reviews),Private,"Delhi,NCT + 44 more",30 years old,1k-5k Employees (India)
1143,le méridien,3.9,(382 Reviews),Private,Paris + 22 more,50 years old,5k-10k Employees (India)
1144,Mu Sigma,3.4,(380 Reviews),Private,"Northbrook,Illinois + 3 more",18 years old,1k-5k Employees (India)
1145,Fino Paytech,4.2,(380 Reviews),"Mumbai,Maharashtra + 93 more",16 years old,51-200 Employees (India),
1146,Care Hospital,4.3,(380 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 24 more",25 years old,1k-5k Employees (India)
1147,Central Public W...,4.1,(380 Reviews),Private,"Delhi/NCR,New Delhi + 89 more",168 years old,10k-50k Employees (India)
1148,Courtyard by Mar...,4.3,(380 Reviews),Public,"Bethesda,Maryland + 31 more",95 years old,1k-5k Employees (India)
1149,Knight Frank,4.2,(380 Reviews),Private,London + 31 more,126 years old,501-1k Employees (India)
1150,Encore Capital G...,4.2,(379 Reviews),Private,"San Diego,California + 2 more",69 years old,1k-5k Employees (India)
1151,UNITED COLORS OF...,4.5,(379 Reviews),Private,"Gurgaon/Gurugram,Haryana + 55 more",30 years old,201-500 Employees (India)
1152,Aparajitha Corpo...,4.1,(379 Reviews),Private,"Madurai,Tamil Nadu + 45 more",22 years old,1k-5k Employees (India)
1153,Goldman Sachs,3.9,(439 Reviews),Private,"New York,New York + 9 more",19 years old,5k-10k Employees (India)
1154,Essjay Ericsson,4.1,(377 Reviews),Private,Delhi + 67 more,51 years old,1k-5k Employees (India)
1155,Mount Litera Zee...,4.0,(377 Reviews),Private,Mumbai + 91 more,28 years old,501-1k Employees (Global)
1156,Centum Learning,3.8,(377 Reviews),Private,"Delhi/NCR,New Delhi + 63 more",15 years old,1k-5k Employees (India)
1157,Ramky Infrastruc...,4.3,(376 Reviews),Public,Hyderabad + 40 more,28 years old,501-1k Employees (India)
1158,Isuzu Motors,3.7,(376 Reviews),Private,Tokyo + 18 more,10 years old,501-1k Employees (India)
1159,First Advantage,3.8,(376 Reviews),Private,"Atlanta,Georgia + 8 more",19 years old,1k-5k Employees (India)
1160,Government of In...,4.1,(376 Reviews),Govt Organisation,New Delhi + 97 more,72 years old,1 Lakh+ Employees (Global)
1161,Saudi Aramco,4.6,(729 Reviews),Private,Dhahran + 26 more,89 years old,1k-5k Employees (India)
1162,ZUVENTUS HEALTHC...,4.1,(375 Reviews),Private,"Mumbai,Maharashtra + 52 more",20 years old,1k-5k Employees (India)
1163,Better.com,2.7,(375 Reviews),"New York City,New York + 3 more",6 years old,201-500 Employees (India),
1164,Oriental Structu...,4.2,(375 Reviews),Private,"Delhi/NCR,Delhi + 43 more",36 years old,1k-5k Employees (India)
1165,Kohler,3.8,(409 Reviews),Private,"Kohler,Wisconsin + 25 more",149 years old,1k-5k Employees (India)
1166,VMware Software,4.3,(377 Reviews),Private,"Palo Alto,California + 8 more",24 years old,5k-10k Employees (India)
1167,NSB Bpo Solution...,3.2,(374 Reviews),Private,"Bhopal,Madhya Pradesh + 73 more",29 years old,1k-5k Employees (India)
1168,Xebia,4.4,(374 Reviews),Private,"Hilversum,Hilversum + 9 more",21 years old,1k-5k Employees (India)
